order_number,item_number,product_name,item_sales_units
22736266383,11028,Organic Blackberry Fruit Spread,1
22736266383,11025,Organic Extra Virgin Olive Oil,1
22736266383,11029,Organic Raw Apple Cider Vinegar,1
22736266383,12002,Organic Light Brown Sugar,1
22736266383,11018,Organic Black Beans,3
22736266383,11008,Organic Dijon Mustard,2
22736266383,11011,Organic Quinoa,2
22736266383,11051,Organic Balsamic Vinaigrette Dressing,1
22736266383,11045,Vanilla Cocoa Granola,1
22736266383,11021,Organic Maple Syrup,1
22736266383,11043,Organic Oats & Honey Granola,1
22736266383,11007,Organic Yellow Mustard,2
22736266383,13009,Organic Fruit Tea & Herbal Sampler Variety Pack,1
22736266383,11013,Organic Brown Basmati Rice,1
22736266383,12001,Organic Cane Sugar,1
22736266383,11049,Organic Teriyaki Sauce & Marinade ,1
22736266383,12013,2pk Organic Taco Seasoning Packet,1
22736266383,11024,Organic Ketchup,2
22733653790,14012,Chocolate Chip Cookie Thins,3
22733653790,11006,Organic Blue Corn Taco Shells,1
22711985076,14006,Organic Yellow Corn Tortilla Chips,1
22711985076,11016,Organic Virgin Coconut Oil,1
22711985076,22001,Dish Soap ,1
22711985076,11001,Organic Honey,1
22711985076,14007,Organic Blue Corn Tortilla Chips,1
22711985076,14023,Organic Raisins,1
22711985076,14009,Organic Aged White Cheddar Popcorn,1
22711985076,32002,Organic Cotton Rounds,1
22711985076,14014,White Cheddar Flavored Quinoa Puffs,1
22711985076,12013,2pk Organic Taco Seasoning Packet,1
22711985076,11025,Organic Extra Virgin Olive Oil,1
22711985076,14013,Sea Salt Quinoa Chips,1
22711985076,11050,Organic Italian Dressing,1
22711985076,14008,Organic Olive Oil & Sea Salt Popcorn,1
22711841763,14006,Organic Yellow Corn Tortilla Chips,2
22711841763,13005,Organic Fair Trade Cold Brew Coffee Bag,1
22711841763,61004,Black Hard Cover Bound Notebook,1
22711841763,14007,Organic Blue Corn Tortilla Chips,1
22711841763,14012,Chocolate Chip Cookie Thins,1
22711841763,11003,Organic Creamy Peanut Butter,1
